Código USFQ,Código procedencia,Especie,Tipo de muestra,Estado salud animal,observaciones,Fecha colección,Fecha recepción,Semana Epidemiológica,Provincia,Ciudad,Localidad,Nombre_animal,Género,Edad,MÉDICO CONTACTO,Diagnóstico Kit Allplex,Diagnóstico Kit Bioperfectuss/LunaSARS,RT-PCR gen M,Gel amplicon sequencing,Secuenciamiento,run,PB2,PB1,PA,HA,NP,NA,MP,NS,n_regions_assembled,has_8_regions,confirmed_segments,n_confirmed_segments
Flu-0205,GU1-005-HF,Ardenna grisea,Hisopado Faríngeo,Muerto,"Se equivocaron al diferenciar cuál es el hisopado cloacal, por lo que hay dos muestras etiquetadas como hisopados faringeo",2023-07-11,2023-07-14,,GUAYAS,Puerto Engabao,,,,,,,,Bandeo (M),,Influenza A: H5N1*,"8,10,14",,,,,,,SI,,1,,MP,1
Flu-0206,GU1-005-HF,Ardenna grisea,Hisopado Faríngeo,Muerto,,2023-07-11,2023-07-14,,GUAYAS,Puerto Engabao,,PIDEN METAGENOMA,,,,,,Bandeo (M),,Influenza A: H5N1*,"8,10",,,,,,,SI,SI,2,,"MP,NS",2
Flu-0314,BM-IA-06,Patos,Pool hisopados,,"Cq 34,02",2023-07-24,2023-08-01,,TUNGURAHUA,Ambato,Parroquia Santa Rosa,,,,,,,Positivo,4,Influenza A: H5N1; 2.3.4.4b,9,,,,,,SI,SI,SI,3,,"NA,MP,NS",3
Flu-0316,BM-IA-08,Aves de corral,Pool hisopados,,"Cq 18,37",2023-07-28,2023-08-01,,COTOPAXI,Salcedo, Parroquia Antonio José Holguin,,,,,,,Positivo,3,Influenza A: H5N1; 2.3.4.4b,9,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0317,BM-IA-09,Aves de corral,Pool hisopados,,"Cq 19,34",2023-07-28,2023-08-01,,COTOPAXI,Salcedo, Parroquia Antonio José Holguin,,,,,,,Positivo,3,Influenza A: H5N1; 2.3.4.4b,9,SI,SI,SI,SI,SI,SI,SI,SI,8,SI,"PB2,PB1,PA,HA,NP,NA,MP,NS",8
Flu-0318,BM-IA-10,Aves de corral,Pool hisopados,,"Cq 27,49",2023-07-24,2023-08-03,,TUNGURAHUA,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,10,SI,SI,SI,,SI,SI,SI,SI,7,,"PB2,PB1,PA,NP,NA,MP,NS",7
Flu-0321,BM-IA-13,Aves de corral,Pool hisopados,,"Cq 27,94",2023-07-28,2023-08-03,,COTOPAXI,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,10,,,,,,SI,SI,SI,3,,"NA,MP,NS",3
Flu-0323,BM-IA-15,Aves de corral,Hisopado,,"Cq 22,63",2023-08-03,2023-08-21,,PICHINCHA,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,12,,,,,,,SI,SI,2,,"MP,NS",2
Flu-0325,BM-IA-17,Aves de corral,Hisopado,,"Cq 21,27",2023-08-03,2023-08-21,,PICHINCHA,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,12,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
Flu-0326,BM-IA-18,Aves de corral,Hisopado,,"Cq 15,9",2023-08-03,2023-08-21,,PICHINCHA,,,,,,,,,,,Influenza A: H5N1; 2.3.4.4b,12,,,,,SI,,SI,SI,3,,"NP,MP,NS",3
