label,id,type_c,date
AchickenAraucania239569-12023_EPI_ISL_17885954__regional_context/Araucania/2023-03-02,AchickenAraucania239569-12023_EPI_ISL_17885954,regional_context,2023-03-02
AchickenAraucania239569-22023_EPI_ISL_17885952__regional_context/Araucania/2023-03-02,AchickenAraucania239569-22023_EPI_ISL_17885952,regional_context,2023-03-02
AchickenAraucania239189-22023_EPI_ISL_17885958__regional_context/Araucania/2023-02-28,AchickenAraucania239189-22023_EPI_ISL_17885958,regional_context,2023-02-28
AgooseAraucania239189-12023_EPI_ISL_17885869__regional_context/Araucania/2023-02-28,AgooseAraucania239189-12023_EPI_ISL_17885869,regional_context,2023-02-28
AchickenAraucania241914-12023_EPI_ISL_17885945__regional_context/Araucania/2023-03-14,AchickenAraucania241914-12023_EPI_ISL_17885945,regional_context,2023-03-14
Abuff-necked_ibisBio_bio247636-12023_EPI_ISL_19418491__regional_context/BioBio/2023-04-07,Abuff-necked_ibisBio_bio247636-12023_EPI_ISL_19418491,regional_context,2023-04-07
AchickenAraucania240481-12023_EPI_ISL_17885949__regional_context/Araucania/2023-03-07,AchickenAraucania240481-12023_EPI_ISL_17885949,regional_context,2023-03-07
AchickenAraucania241892-22023_EPI_ISL_17885946__regional_context/Araucania/2023-03-14,AchickenAraucania241892-22023_EPI_ISL_17885946,regional_context,2023-03-14
AturkeyAraucania241892-32023_EPI_ISL_17885966__regional_context/Araucania/2023-03-14,AturkeyAraucania241892-32023_EPI_ISL_17885966,regional_context,2023-03-14
ASeagullSarmiento1651-42023_EPI_ISL_19137653__regional_context/Sarmiento/2023-04-17,ASeagullSarmiento1651-42023_EPI_ISL_19137653,regional_context,2023-04-17
AchickenCochabamba395072023_EPI_ISL_19410272__regional_context/Cochabamba/2023-03-01,AchickenCochabamba395072023_EPI_ISL_19410272,regional_context,2023-03-01
AchickenCochabamba393832023_EPI_ISL_19410268__regional_context/Cochabamba/2023-02-01,AchickenCochabamba393832023_EPI_ISL_19410268,regional_context,2023-02-01
AchickenCochabamba394762023_EPI_ISL_19410271__regional_context/Cochabamba/2023-02-18,AchickenCochabamba394762023_EPI_ISL_19410271,regional_context,2023-02-18
AchickenCochabamba393562023_EPI_ISL_19410267__regional_context/Cochabamba/2023-01-26,AchickenCochabamba393562023_EPI_ISL_19410267,regional_context,2023-01-26
AchickenCochabamba394252023_EPI_ISL_19410269__regional_context/Cochabamba/2023-02-07,AchickenCochabamba394252023_EPI_ISL_19410269,regional_context,2023-02-07
AchickenPotosi398702023_EPI_ISL_19410299__regional_context/Potosi/2023-06-06,AchickenPotosi398702023_EPI_ISL_19410299,regional_context,2023-06-06
AchickenCochabamba395392023_EPI_ISL_19418487__regional_context/Cochabamba/2023-03-03,AchickenCochabamba395392023_EPI_ISL_19418487,regional_context,2023-03-03
AGooseArgentina389-12023_EPI_ISL_18698459__regional_context/Argentina/2023-02-11,AGooseArgentina389-12023_EPI_ISL_18698459,regional_context,2023-02-11
AchickenPeruAIS05482022_EPI_ISL_17805994__regional_context/Peru/2022-12-22,AchickenPeruAIS05482022_EPI_ISL_17805994,regional_context,2022-12-22
AchickenPeruAIS05492022_EPI_ISL_17805996__regional_context/Peru/2022-12-22,AchickenPeruAIS05492022_EPI_ISL_17805996,regional_context,2022-12-22
ABelcher_gullPeruUNMSM-A2672022_EPI_ISL_18371664__regional_context/Peru/2022-12-01,ABelcher_gullPeruUNMSM-A2672022_EPI_ISL_18371664,regional_context,2022-12-01
AGuanay_cormorantPeruUNMSM-A2752022_EPI_ISL_18371665__regional_context/Peru/2022-12-01,AGuanay_cormorantPeruUNMSM-A2752022_EPI_ISL_18371665,regional_context,2022-12-01
APeruvian_boobyPeruUNMSM-A2962022_EPI_ISL_18371666__regional_context/Peru/2022-12-01,APeruvian_boobyPeruUNMSM-A2962022_EPI_ISL_18371666,regional_context,2022-12-01
